,city,country,lat,long,temperature,humidity,cloudiness,wind speed
0,luanda,ao,-8.8146556,13.2301756,75.2,78,75,2.1
1,hobart,au,-42.8821377,147.3271949,47.102000000000075,71,90,4.1
2,yellowknife,ca,62.4539717,-114.3717887,59.75600000000003,67,20,4.1
3,los llanos de aridane,es,28.6183515,-17.8998566,67.69400000000007,78,75,6.2
4,barrow,us,36.0727771,-95.9195026,79.26800000000009,74,20,5.1
5,taolanaro,mg,-25.0225309,46.9853688,75.2,69,20,3.1
6,kupang,id,-10.1771997,123.6070329,86.0,58,20,6.2
7,ushuaia,ar,-54.8019121,-68.3029511,26.6,86,75,3.1
8,mahebourg,mu,-20.4059505,57.7034222,75.2,73,75,2.1
9,awbari,ly,26.5810176,12.7939759,95.52200000000005,11,0,6.07
10,rikitea,pf,-23.1223034,-134.9691543,69.11600000000001,60,100,6.98
11,butaritari,ki,3.1166667,172.8,82.76000000000008,73,49,2.1
12,mareeba,au,-17.0019368,145.4388546,69.72800000000007,65,0,0.89
13,torrington,us,41.8003049,-73.1211715,62.58200000000002,100,86,1.66
14,tongren,cn,27.731514,109.189598,80.924,88,100,1.91
15,mar del plata,ar,-38.0054771,-57.5426106,51.92600000000009,81,90,7.2
16,norman wells,ca,65.28149379999999,-126.8286524,59.0,82,75,2.1
17,salalah,om,17.0193843,54.11075049999999,87.80000000000001,79,75,5.7
18,necochea,ar,-38.5544968,-58.73960879999999,50.0,88,100,4.92
19,illoqqortoormiut,gl,70.48556909999999,-21.9628757,41.432000000000016,73,32,1.14
20,punta arenas,cl,-53.1638329,-70.9170683,23.0,92,5,1.51
21,nizhniy odes,ru,63.6378381,54.84651059999999,50.61200000000006,57,100,2.65
22,new norfolk,au,-42.7828332,147.0593848,44.978000000000065,82,100,0.98
23,bredasdorp,za,-34.5385222,20.0568771,57.2,93,4,1.5
24,mys shmidta,ru,68.8931114,-179.4125967,32.66600000000001,96,100,1.47
25,srednekolymsk,ru,67.43730699999999,153.728674,60.17000000000006,38,0,6.07
26,hermanus,za,-34.4092004,19.2504436,57.992,82,3,4.02
27,busselton,au,-33.6531584,115.3454892,58.190000000000026,61,66,8.78
28,dalbandin,pk,28.8854045,64.3963673,108.17600000000009,13,51,4.17
29,lompoc,us,34.6391501,-120.4579409,52.196000000000055,87,0,1.5
30,inhumas,br,-16.3731342,-49.4916808,59.342,77,46,1.5
31,saskylakh,ru,71.954308,114.1198349,92.13800000000005,22,0,5.97
32,atuona,pf,-9.8028605,-139.0398069,79.43000000000004,77,1,7.74
33,katsuura,jp,35.1522272,140.3208833,77.28800000000004,94,75,12.3
34,te anau,nz,-45.4144515,167.718053,43.10600000000003,86,94,2.22
35,clyde river,ca,70.47636500000002,-68.60126509999999,33.8,100,75,4.6
36,hilo,us,19.7241106,-155.0868193,71.13200000000002,83,75,2.1
37,olafsvik,is,64.89604849999999,-23.7060262,48.57800000000007,80,80,4.79
38,hofn,is,64.24970259999999,-15.2020077,55.400000000000006,43,20,7.7
39,baruun-urt,mn,46.6652838,113.2876804,76.55000000000001,40,78,5.27
40,kamyaran,ir,34.7955755,46.9368047,89.52800000000008,18,20,2.1
41,traverse city,us,44.7630567,-85.62063169999999,69.76400000000004,60,1,3.15
42,avarua,ck,-21.2129007,-159.7823059,75.2,73,7,6.7
43,constitucion,mx,29.9199404,-106.7960624,69.27800000000008,61,0,2.69
44,lalganj,in,26.1650564,80.9705292,89.6,70,75,2.1
45,airai,pw,7.396611799999999,134.5690225,77.0,88,90,2.1
46,virginia beach,us,36.8529263,-75.97798499999999,70.19600000000005,83,40,2.1
47,port keats,au,-14.250637,129.549659,78.42200000000004,43,100,3.91
48,cayenne,gf,4.92242,-52.3134531,73.4,100,13,3.53
49,cape town,za,-33.9248685,18.4240553,59.342,100,0,1.0
50,beringovskiy,ru,63.0611249,179.3485395,43.016000000000005,93,99,1.7
